file_id,relative_path,extension,size_bytes,sha256,role,adapter,evidence_level,claim_binding,generated_by,tracked_in_git,inside_release_package
F00053,examples/corrupted_artifact_cases_extended/clean_specificity/case_01/CITATION.cff,.cff,19,22a4109447ee1c1c2ab97a4b4ec131f1b123f1761b8136a90816f4863b580cb5,manifest,,L0_METADATA,,source_tree,no,no
F00054,examples/corrupted_artifact_cases_extended/clean_specificity/case_01/LICENSE,,16,a7c6bf8df7d8fb707af606599f275e0eb192cd28492c95593b0608ca966c8df1,input_artifact,,L0_METADATA,,source_tree,no,no
F00055,examples/corrupted_artifact_cases_extended/clean_specificity/case_01/README.md,.md,22,90d5eac4ecee0df91a55f8b240cefca97a773197a61859f824c80c410cc161f7,input_artifact,,L0_METADATA,,source_tree,no,no
F00056,examples/corrupted_artifact_cases_extended/clean_specificity/case_01/artifact_index.json,.json,525,392473767f62520cec2d7aa0f0413f635f3d9c0b63a522e29df6abd72b43af7f,manifest,,L0_METADATA,,source_tree,no,no
F00057,examples/corrupted_artifact_cases_extended/clean_specificity/case_01/artifact_stub.txt,.txt,33,5278fa32066306d4d82702ef96f4b742e41dd2843d163fd90772e33695a07f02,input_artifact,,L0_METADATA,,source_tree,no,no
F00058,examples/corrupted_artifact_cases_extended/clean_specificity/case_01/case_manifest.json,.json,237,c9180ec882f08fb21db2b7183bcd6a9ac1f22da0f98df4425e2bff8deed4c289,manifest,,L0_METADATA,,source_tree,no,no
F00059,examples/corrupted_artifact_cases_extended/clean_specificity/case_01/package_requirements.json,.json,83,31c9e3b02fa1c4c72296e2e3caff72bbaa066aed2bd2b0b046334d2bf92d90f3,input_artifact,,L0_METADATA,,source_tree,no,no
F00060,examples/corrupted_artifact_cases_extended/clean_specificity/case_01/raw_artifacts/result.log,.log,32,0fdfbde06e18794d8c610f61facf8a3a83d3f140cfeca8a623e230265722284b,raw_log,,L3_SIMULATION,,source_tree,no,no
F00061,examples/corrupted_artifact_cases_extended/clean_specificity/case_02/CITATION.cff,.cff,19,22a4109447ee1c1c2ab97a4b4ec131f1b123f1761b8136a90816f4863b580cb5,manifest,,L0_METADATA,,source_tree,no,no
F00062,examples/corrupted_artifact_cases_extended/clean_specificity/case_02/LICENSE,,16,a7c6bf8df7d8fb707af606599f275e0eb192cd28492c95593b0608ca966c8df1,input_artifact,,L0_METADATA,,source_tree,no,no
F00063,examples/corrupted_artifact_cases_extended/clean_specificity/case_02/README.md,.md,22,90d5eac4ecee0df91a55f8b240cefca97a773197a61859f824c80c410cc161f7,input_artifact,,L0_METADATA,,source_tree,no,no
F00064,examples/corrupted_artifact_cases_extended/clean_specificity/case_02/artifact_index.json,.json,525,8161599fa11339f9e6c59522a8029711956e72701f5ee30e239d096e096d7a58,manifest,,L0_METADATA,,source_tree,no,no
F00065,examples/corrupted_artifact_cases_extended/clean_specificity/case_02/artifact_stub.txt,.txt,33,094ae087e25dd86b9095cebc92aabbdc633e561fdffe5656a99f1121667f8c3a,input_artifact,,L0_METADATA,,source_tree,no,no
F00066,examples/corrupted_artifact_cases_extended/clean_specificity/case_02/case_manifest.json,.json,237,5071181cbab990d6968c5f95a4baf1ff63a0ae11ee680c441039168d188b7a11,manifest,,L0_METADATA,,source_tree,no,no
F00067,examples/corrupted_artifact_cases_extended/clean_specificity/case_02/package_requirements.json,.json,83,31c9e3b02fa1c4c72296e2e3caff72bbaa066aed2bd2b0b046334d2bf92d90f3,input_artifact,,L0_METADATA,,source_tree,no,no
F00068,examples/corrupted_artifact_cases_extended/clean_specificity/case_02/raw_artifacts/result.log,.log,32,303ccb1758dfe461babc3440e7897fadcfecf22a4e38dc4d639210ff87a496d4,raw_log,,L3_SIMULATION,,source_tree,no,no
F00069,examples/corrupted_artifact_cases_extended/clean_specificity/case_03/CITATION.cff,.cff,19,22a4109447ee1c1c2ab97a4b4ec131f1b123f1761b8136a90816f4863b580cb5,manifest,,L0_METADATA,,source_tree,no,no
F00070,examples/corrupted_artifact_cases_extended/clean_specificity/case_03/LICENSE,,16,a7c6bf8df7d8fb707af606599f275e0eb192cd28492c95593b0608ca966c8df1,input_artifact,,L0_METADATA,,source_tree,no,no
F00071,examples/corrupted_artifact_cases_extended/clean_specificity/case_03/README.md,.md,22,90d5eac4ecee0df91a55f8b240cefca97a773197a61859f824c80c410cc161f7,input_artifact,,L0_METADATA,,source_tree,no,no
F00072,examples/corrupted_artifact_cases_extended/clean_specificity/case_03/artifact_index.json,.json,525,34994ff4c6b9752013d7469c9895bcdae7922a9dc22c545c0fac067eb9bd9a9a,manifest,,L0_METADATA,,source_tree,no,no
F00073,examples/corrupted_artifact_cases_extended/clean_specificity/case_03/artifact_stub.txt,.txt,33,0ba0370a5f500162bfa34174d8a12b7736502880c57480023b4edbab7b0d404d,input_artifact,,L0_METADATA,,source_tree,no,no
F00074,examples/corrupted_artifact_cases_extended/clean_specificity/case_03/case_manifest.json,.json,237,d704a03f9e1bc2097754076de71e0bf494f92126ff18646f6f87aeb77163d4ff,manifest,,L0_METADATA,,source_tree,no,no
F00075,examples/corrupted_artifact_cases_extended/clean_specificity/case_03/package_requirements.json,.json,83,31c9e3b02fa1c4c72296e2e3caff72bbaa066aed2bd2b0b046334d2bf92d90f3,input_artifact,,L0_METADATA,,source_tree,no,no
F00076,examples/corrupted_artifact_cases_extended/clean_specificity/case_03/raw_artifacts/result.log,.log,32,8296c7126df95dec90d13bddb324086431ee2b783d54261f7f8635377970a1cb,raw_log,,L3_SIMULATION,,source_tree,no,no
F00077,examples/corrupted_artifact_cases_extended/clean_specificity/case_04/CITATION.cff,.cff,19,22a4109447ee1c1c2ab97a4b4ec131f1b123f1761b8136a90816f4863b580cb5,manifest,,L0_METADATA,,source_tree,no,no
F00078,examples/corrupted_artifact_cases_extended/clean_specificity/case_04/LICENSE,,16,a7c6bf8df7d8fb707af606599f275e0eb192cd28492c95593b0608ca966c8df1,input_artifact,,L0_METADATA,,source_tree,no,no
F00079,examples/corrupted_artifact_cases_extended/clean_specificity/case_04/README.md,.md,22,90d5eac4ecee0df91a55f8b240cefca97a773197a61859f824c80c410cc161f7,input_artifact,,L0_METADATA,,source_tree,no,no
F00080,examples/corrupted_artifact_cases_extended/clean_specificity/case_04/artifact_index.json,.json,525,258ed41fd3f19abd1b515078db95c5ade1e74586b626509b4cdb38d836ee00bf,manifest,,L0_METADATA,,source_tree,no,no
F00081,examples/corrupted_artifact_cases_extended/clean_specificity/case_04/artifact_stub.txt,.txt,33,ad59bf93dc97923402bf472de0bef935b9e3aa53609f2881c9e19e5f148310d4,input_artifact,,L0_METADATA,,source_tree,no,no
F00082,examples/corrupted_artifact_cases_extended/clean_specificity/case_04/case_manifest.json,.json,237,a68cd3c5c20367069602608ee8b78e6c1b83bc94af65b5cbd943576b9bfeb669,manifest,,L0_METADATA,,source_tree,no,no
F00083,examples/corrupted_artifact_cases_extended/clean_specificity/case_04/package_requirements.json,.json,83,31c9e3b02fa1c4c72296e2e3caff72bbaa066aed2bd2b0b046334d2bf92d90f3,input_artifact,,L0_METADATA,,source_tree,no,no
F00084,examples/corrupted_artifact_cases_extended/clean_specificity/case_04/raw_artifacts/result.log,.log,32,e97ad97fbea07da46e945b789e02fb3cd0f742ed953a0344122893e1590b127d,raw_log,,L3_SIMULATION,,source_tree,no,no
F00085,examples/corrupted_artifact_cases_extended/clean_specificity/case_05/CITATION.cff,.cff,19,22a4109447ee1c1c2ab97a4b4ec131f1b123f1761b8136a90816f4863b580cb5,manifest,,L0_METADATA,,source_tree,no,no
F00086,examples/corrupted_artifact_cases_extended/clean_specificity/case_05/LICENSE,,16,a7c6bf8df7d8fb707af606599f275e0eb192cd28492c95593b0608ca966c8df1,input_artifact,,L0_METADATA,,source_tree,no,no
F00087,examples/corrupted_artifact_cases_extended/clean_specificity/case_05/README.md,.md,22,90d5eac4ecee0df91a55f8b240cefca97a773197a61859f824c80c410cc161f7,input_artifact,,L0_METADATA,,source_tree,no,no
F00088,examples/corrupted_artifact_cases_extended/clean_specificity/case_05/artifact_index.json,.json,525,64fec6a5a3c77189d97a5a7ae7f7bca7084b72326300095815887d95914979fc,manifest,,L0_METADATA,,source_tree,no,no
F00089,examples/corrupted_artifact_cases_extended/clean_specificity/case_05/artifact_stub.txt,.txt,33,f4135a38020606c587c5377c41b540006febdc343e53dd3f39798db2ace7dee5,input_artifact,,L0_METADATA,,source_tree,no,no
F00090,examples/corrupted_artifact_cases_extended/clean_specificity/case_05/case_manifest.json,.json,237,69e8c4ef867adaede3fe05135a7e80b83872c6d22696ed1c21278ebd1cd96909,manifest,,L0_METADATA,,source_tree,no,no
F00091,examples/corrupted_artifact_cases_extended/clean_specificity/case_05/package_requirements.json,.json,83,31c9e3b02fa1c4c72296e2e3caff72bbaa066aed2bd2b0b046334d2bf92d90f3,input_artifact,,L0_METADATA,,source_tree,no,no
F00092,examples/corrupted_artifact_cases_extended/clean_specificity/case_05/raw_artifacts/result.log,.log,32,7c674fa4dc1440d69b24510ce835e1c4f5d24eae8001f5287b0975d34a983119,raw_log,,L3_SIMULATION,,source_tree,no,no
F00093,examples/corrupted_artifact_cases_extended/clean_specificity/case_06/CITATION.cff,.cff,19,22a4109447ee1c1c2ab97a4b4ec131f1b123f1761b8136a90816f4863b580cb5,manifest,,L0_METADATA,,source_tree,no,no
F00094,examples/corrupted_artifact_cases_extended/clean_specificity/case_06/LICENSE,,16,a7c6bf8df7d8fb707af606599f275e0eb192cd28492c95593b0608ca966c8df1,input_artifact,,L0_METADATA,,source_tree,no,no
F00095,examples/corrupted_artifact_cases_extended/clean_specificity/case_06/README.md,.md,22,90d5eac4ecee0df91a55f8b240cefca97a773197a61859f824c80c410cc161f7,input_artifact,,L0_METADATA,,source_tree,no,no
F00096,examples/corrupted_artifact_cases_extended/clean_specificity/case_06/artifact_index.json,.json,525,4a2c482e88d7d2be682ef830fec1b4559fa623a87af67954b43f195865640e46,manifest,,L0_METADATA,,source_tree,no,no
F00097,examples/corrupted_artifact_cases_extended/clean_specificity/case_06/artifact_stub.txt,.txt,33,ba4698e2f74fe5d4dab80b7ffb7bc7694ece847ff2f501d1ceec713ea3b9de1d,input_artifact,,L0_METADATA,,source_tree,no,no
F00098,examples/corrupted_artifact_cases_extended/clean_specificity/case_06/case_manifest.json,.json,237,e2ab468d85a5c4f76ffa07fdebaa72238844f8638d58fdfa88831e762343b7e2,manifest,,L0_METADATA,,source_tree,no,no
F00099,examples/corrupted_artifact_cases_extended/clean_specificity/case_06/package_requirements.json,.json,83,31c9e3b02fa1c4c72296e2e3caff72bbaa066aed2bd2b0b046334d2bf92d90f3,input_artifact,,L0_METADATA,,source_tree,no,no
F00100,examples/corrupted_artifact_cases_extended/clean_specificity/case_06/raw_artifacts/result.log,.log,32,9de9c153c1baeb206349f13cabc57c3f0f0a0872ac65b7d4cab629fedd421d8a,raw_log,,L3_SIMULATION,,source_tree,no,no
F00101,examples/corrupted_artifact_cases_extended/clean_specificity/case_07/CITATION.cff,.cff,19,22a4109447ee1c1c2ab97a4b4ec131f1b123f1761b8136a90816f4863b580cb5,manifest,,L0_METADATA,,source_tree,no,no
F00102,examples/corrupted_artifact_cases_extended/clean_specificity/case_07/LICENSE,,16,a7c6bf8df7d8fb707af606599f275e0eb192cd28492c95593b0608ca966c8df1,input_artifact,,L0_METADATA,,source_tree,no,no
F00103,examples/corrupted_artifact_cases_extended/clean_specificity/case_07/README.md,.md,22,90d5eac4ecee0df91a55f8b240cefca97a773197a61859f824c80c410cc161f7,input_artifact,,L0_METADATA,,source_tree,no,no
F00104,examples/corrupted_artifact_cases_extended/clean_specificity/case_07/artifact_index.json,.json,525,0c94d77e04d6c9f8f3389672fd8e44440016e35634e9401da64df42041644209,manifest,,L0_METADATA,,source_tree,no,no
F00105,examples/corrupted_artifact_cases_extended/clean_specificity/case_07/artifact_stub.txt,.txt,33,83b55e3019896c5531f54725b4de8f25f6268efc80621c27d7409128587ade68,input_artifact,,L0_METADATA,,source_tree,no,no
F00106,examples/corrupted_artifact_cases_extended/clean_specificity/case_07/case_manifest.json,.json,237,62d1e2b0151105415f799d3ca0522959f32dbe433318940f902f27227004e61d,manifest,,L0_METADATA,,source_tree,no,no
F00107,examples/corrupted_artifact_cases_extended/clean_specificity/case_07/package_requirements.json,.json,83,31c9e3b02fa1c4c72296e2e3caff72bbaa066aed2bd2b0b046334d2bf92d90f3,input_artifact,,L0_METADATA,,source_tree,no,no
F00108,examples/corrupted_artifact_cases_extended/clean_specificity/case_07/raw_artifacts/result.log,.log,32,4ce1e096907cc295b0f5e4a951927113d16491936ea881e0844ed459229e6ee3,raw_log,,L3_SIMULATION,,source_tree,no,no
F00109,examples/corrupted_artifact_cases_extended/clean_specificity/case_08/CITATION.cff,.cff,19,22a4109447ee1c1c2ab97a4b4ec131f1b123f1761b8136a90816f4863b580cb5,manifest,,L0_METADATA,,source_tree,no,no
F00110,examples/corrupted_artifact_cases_extended/clean_specificity/case_08/LICENSE,,16,a7c6bf8df7d8fb707af606599f275e0eb192cd28492c95593b0608ca966c8df1,input_artifact,,L0_METADATA,,source_tree,no,no
F00111,examples/corrupted_artifact_cases_extended/clean_specificity/case_08/README.md,.md,22,90d5eac4ecee0df91a55f8b240cefca97a773197a61859f824c80c410cc161f7,input_artifact,,L0_METADATA,,source_tree,no,no
F00112,examples/corrupted_artifact_cases_extended/clean_specificity/case_08/artifact_index.json,.json,525,71eaec57488c5df57fd189a2b4da88cc2c0edb637411e06def1fc853c8aaf018,manifest,,L0_METADATA,,source_tree,no,no
F00113,examples/corrupted_artifact_cases_extended/clean_specificity/case_08/artifact_stub.txt,.txt,33,cf1cdcd8953fb5f512b9ff3b0c32588cae66701af561db446420515895b96ee5,input_artifact,,L0_METADATA,,source_tree,no,no
F00114,examples/corrupted_artifact_cases_extended/clean_specificity/case_08/case_manifest.json,.json,237,ec0c976a304eaa41ed5f49d8cb1311ef3a0d9859664899f0a5a08d85389d278b,manifest,,L0_METADATA,,source_tree,no,no
F00115,examples/corrupted_artifact_cases_extended/clean_specificity/case_08/package_requirements.json,.json,83,31c9e3b02fa1c4c72296e2e3caff72bbaa066aed2bd2b0b046334d2bf92d90f3,input_artifact,,L0_METADATA,,source_tree,no,no
F00116,examples/corrupted_artifact_cases_extended/clean_specificity/case_08/raw_artifacts/result.log,.log,32,a6fada6144043d8e969b4f3a8f6cd15e5dd035603230861c1a49ce8aed640fd0,raw_log,,L3_SIMULATION,,source_tree,no,no
F00117,examples/corrupted_artifact_cases_extended/clean_specificity/case_09/CITATION.cff,.cff,19,22a4109447ee1c1c2ab97a4b4ec131f1b123f1761b8136a90816f4863b580cb5,manifest,,L0_METADATA,,source_tree,no,no
F00118,examples/corrupted_artifact_cases_extended/clean_specificity/case_09/LICENSE,,16,a7c6bf8df7d8fb707af606599f275e0eb192cd28492c95593b0608ca966c8df1,input_artifact,,L0_METADATA,,source_tree,no,no
F00119,examples/corrupted_artifact_cases_extended/clean_specificity/case_09/README.md,.md,22,90d5eac4ecee0df91a55f8b240cefca97a773197a61859f824c80c410cc161f7,input_artifact,,L0_METADATA,,source_tree,no,no
F00120,examples/corrupted_artifact_cases_extended/clean_specificity/case_09/artifact_index.json,.json,525,a64bca27a6ea3dc41cd0db3d0a3970f3d0af561bd4396b453c8c0b9af1461bb3,manifest,,L0_METADATA,,source_tree,no,no
F00121,examples/corrupted_artifact_cases_extended/clean_specificity/case_09/artifact_stub.txt,.txt,33,b7a6f4fac22fb4ea9688c7ab3cf1138a9b0bdc593cf8fe64aacd91412144c76b,input_artifact,,L0_METADATA,,source_tree,no,no
F00122,examples/corrupted_artifact_cases_extended/clean_specificity/case_09/case_manifest.json,.json,237,656cf57de4a8b7afe2402122fb303eca78058aa9e34cbc5d5c4279d9f52d2bb9,manifest,,L0_METADATA,,source_tree,no,no
F00123,examples/corrupted_artifact_cases_extended/clean_specificity/case_09/package_requirements.json,.json,83,31c9e3b02fa1c4c72296e2e3caff72bbaa066aed2bd2b0b046334d2bf92d90f3,input_artifact,,L0_METADATA,,source_tree,no,no
F00124,examples/corrupted_artifact_cases_extended/clean_specificity/case_09/raw_artifacts/result.log,.log,32,bd7c6db5d0fcac58648e8f7a0fe6fa711c39f69730af4a16743019d99d15fac0,raw_log,,L3_SIMULATION,,source_tree,no,no
F00125,examples/corrupted_artifact_cases_extended/clean_specificity/case_10/CITATION.cff,.cff,19,22a4109447ee1c1c2ab97a4b4ec131f1b123f1761b8136a90816f4863b580cb5,manifest,,L0_METADATA,,source_tree,no,no
F00126,examples/corrupted_artifact_cases_extended/clean_specificity/case_10/LICENSE,,16,a7c6bf8df7d8fb707af606599f275e0eb192cd28492c95593b0608ca966c8df1,input_artifact,,L0_METADATA,,source_tree,no,no
F00127,examples/corrupted_artifact_cases_extended/clean_specificity/case_10/README.md,.md,22,90d5eac4ecee0df91a55f8b240cefca97a773197a61859f824c80c410cc161f7,input_artifact,,L0_METADATA,,source_tree,no,no
F00128,examples/corrupted_artifact_cases_extended/clean_specificity/case_10/artifact_index.json,.json,525,47d58d752698c9841ccebfaeccbed4ddb0f9d259d53586a7fdebcd81f1e67585,manifest,,L0_METADATA,,source_tree,no,no
F00129,examples/corrupted_artifact_cases_extended/clean_specificity/case_10/artifact_stub.txt,.txt,33,df9736c360160061b8d2f956b4813b3d65dfe36770ed1a150ef29af4d3dca53b,input_artifact,,L0_METADATA,,source_tree,no,no
F00130,examples/corrupted_artifact_cases_extended/clean_specificity/case_10/case_manifest.json,.json,237,4326b2247e8ce8640dad08e1febce02b117b7f5ed5f19383274b87bcd73e5b1b,manifest,,L0_METADATA,,source_tree,no,no
F00131,examples/corrupted_artifact_cases_extended/clean_specificity/case_10/package_requirements.json,.json,83,31c9e3b02fa1c4c72296e2e3caff72bbaa066aed2bd2b0b046334d2bf92d90f3,input_artifact,,L0_METADATA,,source_tree,no,no
