artifact_id,phase,artifact_type,relative_path,source_role,evidence_layer,claim_supported,claim_status,replay_required,replay_command_or_na,hash_or_version,paper_target,unsupported_boundary
P6-0011,Phase6,reviewer_output,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/advisor_pitch.md,reviewer_or_boundary_output,L2_REVIEWER_SUPPORT,CFB-P2-C01;CFB-P2-C03,SUPPORTING_ARTIFACT,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:5acdbdd3d964d85653ea21ece4e4eaeb73ddd0754208c584801013aa70286122,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0012,Phase6,result_table,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/baseline_comparison.csv,metrics_or_dataset_table,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:abd0f2f0e68658ad02a0ba218968cf965ce8ef8dd1c56eaf41355431f00a61d0,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0013,Phase6,reviewer_output,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/claim_boundary.md,reviewer_or_boundary_output,L2_REVIEWER_SUPPORT,CFB-P2-C01;CFB-P2-C03;CFB-P2-C05,SUPPORTING_ARTIFACT,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:b92902f35df586362b621ed8e6b76220523f5d9217e784f1de64c757d77b473f,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0014,Phase6,result_table,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/class_balance.csv,metrics_or_dataset_table,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:f8edfad2bbd67b38a6d1b573d83f755d0ecd265d962b3944d6b1633a47c6dccd,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0015,Phase6,result_table,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/dataset.csv,metrics_or_dataset_table,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:8b5b58127d2653fff7b51e5736d4e4b96bf36a08bfbecac09b9a4208f6b146b5,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0016,Phase6,reviewer_output,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/error_analysis.md,reviewer_or_boundary_output,L2_REVIEWER_SUPPORT,CFB-P2-C01;CFB-P2-C03,SUPPORTING_ARTIFACT,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:626239feec16dbca61d45e4392c261470898cf4f715f92d861c7a54a53ca3ef4,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0017,Phase6,result_table,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/features.csv,metrics_or_dataset_table,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:5b4705254a97c177f7be0f2db7d7382f71b63c5981de6695662daecbbe7715c0,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0018,Phase6,final_acceptance_report,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/final_acceptance_report.md,acceptance_gate_report,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:45946734b55d950bf0e3308be62e8afae311f26320aa01c4278990884eadf0c3,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0019,Phase6,reviewer_output,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/manuscript_skeleton.md,reviewer_or_boundary_output,L2_REVIEWER_SUPPORT,CFB-P2-C01;CFB-P2-C03,SUPPORTING_ARTIFACT,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:e586dac2ed4cbda88b46d2f80448aa93f5d2132d91a70f7a20f2b0a268b3462d,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0020,Phase6,result_table,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/metrics.csv,metrics_or_dataset_table,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:abd0f2f0e68658ad02a0ba218968cf965ce8ef8dd1c56eaf41355431f00a61d0,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0021,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__bias_fault__00.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:fc872f16f110453f65844f719d5dd8f8c1c1324690ad4797893425ea7141831a,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0022,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__bias_fault__01.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:eef17069bfe4eb9f3e6e4d6d813867c9d22df3e97bf4a907099a6f6a2c484eeb,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0023,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__bias_fault__02.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:d157d6db848c3f986a01e221cbde22726425103df991f0c1b51ef597f030848d,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0024,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__bias_fault__03.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:7206f6a035ba840cfae6b96517e8585c1d48f61921d76490f8e1f4e8d09d5fca,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0025,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__bias_fault__04.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:a919fc69d669f30c2c0089319c821b319543ec203e434bc832242a8ea166b13f,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0026,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__bias_fault__05.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:e309f3344723517d4613ed9d1a00d4c6c4b00e791ae25c4897857dd95288bc3d,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0027,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__bias_fault__06.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:aeb1c7d63a3e96ce040add61acb1f8a40215a9c0bc2ca3b9a64b92dec450cb06,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0028,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__bias_fault__07.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:f456c27a900ef97ef9541de80ed9dbf77b4c0b3fe2b4f13e3d1762b7c86e6ba2,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0029,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__bias_fault__08.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:91a320d3d74f013b3fa55b08f256925e5971215e8399f8704538f8fad1fa6e09,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0030,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__bias_fault__09.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:9d6c810e30c13726ecc6bc30d3dbc3bda9bf38ccd8dec8ece4276a6d887efee6,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0031,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__bias_fault__10.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:d61fb6a767a71601df3d10bf047920406d26f97d3ce615f364f709ec0eb066e7,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0032,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__bias_fault__11.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:477fa366cb97289b5254ed62b57c332d0403e302726fdf6e9c5c67225a66e771,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0033,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__nominal__00.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:1a6cbeff8188e997a9375feae34f389b8600c306701fe63cadb13f61bbe7fc72,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0034,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__nominal__01.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:66ed3ca8fb0b18c6ba66cd3992a01d48f86213814fb41738cf03401ea3e74fe0,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0035,Phase6,spice_netlist,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/netlists/diode_clipper_tran__nominal__02.cir,generated_spice_netlist,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:31146025a6c9c39c241567490f5f4f45099758c432e6f75915453b1b10c9cfd6,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
