claim_id,category,claim_text,expected_status
IST-CL-102,hardware_validation_overclaims,The package provides hardware validation for case 2.,UNSUPPORTED
IST-CL-103,hardware_validation_overclaims,The package provides hardware validation for case 3.,UNSUPPORTED
IST-CL-104,hardware_validation_overclaims,The package provides hardware validation for case 4.,UNSUPPORTED
IST-CL-105,hardware_validation_overclaims,The package provides hardware validation for case 5.,UNSUPPORTED
IST-CL-106,hardware_validation_overclaims,The package provides hardware validation for case 6.,UNSUPPORTED
IST-CL-107,hardware_validation_overclaims,The package provides hardware validation for case 7.,UNSUPPORTED
IST-CL-108,hardware_validation_overclaims,The package provides hardware validation for case 8.,UNSUPPORTED
IST-CL-109,hardware_validation_overclaims,The package provides hardware validation for case 9.,UNSUPPORTED
IST-CL-110,hardware_validation_overclaims,The package provides hardware validation for case 10.,UNSUPPORTED
IST-CL-111,hardware_validation_overclaims,The package provides hardware validation for case 11.,UNSUPPORTED
IST-CL-112,hardware_validation_overclaims,The package provides hardware validation for case 12.,UNSUPPORTED
IST-CL-113,hardware_validation_overclaims,The package provides hardware validation for case 13.,UNSUPPORTED
IST-CL-114,hardware_validation_overclaims,The package provides hardware validation for case 14.,UNSUPPORTED
IST-CL-115,hardware_validation_overclaims,The package provides hardware validation for case 15.,UNSUPPORTED
IST-CL-116,hardware_validation_overclaims,The package provides hardware validation for case 16.,UNSUPPORTED
IST-CL-117,hardware_validation_overclaims,The package provides hardware validation for case 17.,UNSUPPORTED
IST-CL-118,hardware_validation_overclaims,The package provides hardware validation for case 18.,UNSUPPORTED
IST-CL-119,hardware_validation_overclaims,The package provides hardware validation for case 19.,UNSUPPORTED
IST-CL-120,hardware_validation_overclaims,The package provides hardware validation for case 20.,UNSUPPORTED
IST-CL-121,hardware_validation_overclaims,The package provides hardware validation for case 21.,UNSUPPORTED
IST-CL-122,hardware_validation_overclaims,The package provides hardware validation for case 22.,UNSUPPORTED
IST-CL-123,hardware_validation_overclaims,The package provides hardware validation for case 23.,UNSUPPORTED
IST-CL-124,hardware_validation_overclaims,The package provides hardware validation for case 24.,UNSUPPORTED
IST-CL-125,hardware_validation_overclaims,The package provides hardware validation for case 25.,UNSUPPORTED
IST-CL-126,hardware_validation_overclaims,The package provides hardware validation for case 26.,UNSUPPORTED
IST-CL-127,hardware_validation_overclaims,The package provides hardware validation for case 27.,UNSUPPORTED
IST-CL-128,hardware_validation_overclaims,The package provides hardware validation for case 28.,UNSUPPORTED
IST-CL-129,hardware_validation_overclaims,The package provides hardware validation for case 29.,UNSUPPORTED
IST-CL-130,hardware_validation_overclaims,The package provides hardware validation for case 30.,UNSUPPORTED
IST-CL-131,hardware_validation_overclaims,The package provides hardware validation for case 31.,UNSUPPORTED
IST-CL-132,hardware_validation_overclaims,The package provides hardware validation for case 32.,UNSUPPORTED
IST-CL-133,hardware_validation_overclaims,The package provides hardware validation for case 33.,UNSUPPORTED
IST-CL-134,hardware_validation_overclaims,The package provides hardware validation for case 34.,UNSUPPORTED
IST-CL-135,hardware_validation_overclaims,The package provides hardware validation for case 35.,UNSUPPORTED
IST-CL-136,hardware_validation_overclaims,The package provides hardware validation for case 36.,UNSUPPORTED
IST-CL-137,hardware_validation_overclaims,The package provides hardware validation for case 37.,UNSUPPORTED
IST-CL-138,hardware_validation_overclaims,The package provides hardware validation for case 38.,UNSUPPORTED
IST-CL-139,hardware_validation_overclaims,The package provides hardware validation for case 39.,UNSUPPORTED
IST-CL-140,hardware_validation_overclaims,The package provides hardware validation for case 40.,UNSUPPORTED
IST-CL-141,hardware_validation_overclaims,The package provides hardware validation for case 41.,UNSUPPORTED
IST-CL-142,hardware_validation_overclaims,The package provides hardware validation for case 42.,UNSUPPORTED
IST-CL-143,hardware_validation_overclaims,The package provides hardware validation for case 43.,UNSUPPORTED
IST-CL-144,hardware_validation_overclaims,The package provides hardware validation for case 44.,UNSUPPORTED
IST-CL-145,hardware_validation_overclaims,The package provides hardware validation for case 45.,UNSUPPORTED
IST-CL-146,hardware_validation_overclaims,The package provides hardware validation for case 46.,UNSUPPORTED
IST-CL-147,hardware_validation_overclaims,The package provides hardware validation for case 47.,UNSUPPORTED
IST-CL-148,hardware_validation_overclaims,The package provides hardware validation for case 48.,UNSUPPORTED
IST-CL-149,hardware_validation_overclaims,The package provides hardware validation for case 49.,UNSUPPORTED
IST-CL-150,hardware_validation_overclaims,The package provides hardware validation for case 50.,UNSUPPORTED
IST-CL-151,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 1.,UNSUPPORTED
IST-CL-152,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 2.,UNSUPPORTED
IST-CL-153,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 3.,UNSUPPORTED
IST-CL-154,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 4.,UNSUPPORTED
IST-CL-155,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 5.,UNSUPPORTED
IST-CL-156,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 6.,UNSUPPORTED
IST-CL-157,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 7.,UNSUPPORTED
IST-CL-158,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 8.,UNSUPPORTED
IST-CL-159,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 9.,UNSUPPORTED
IST-CL-160,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 10.,UNSUPPORTED
IST-CL-161,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 11.,UNSUPPORTED
IST-CL-162,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 12.,UNSUPPORTED
IST-CL-163,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 13.,UNSUPPORTED
IST-CL-164,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 14.,UNSUPPORTED
IST-CL-165,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 15.,UNSUPPORTED
IST-CL-166,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 16.,UNSUPPORTED
IST-CL-167,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 17.,UNSUPPORTED
IST-CL-168,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 18.,UNSUPPORTED
IST-CL-169,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 19.,UNSUPPORTED
IST-CL-170,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 20.,UNSUPPORTED
IST-CL-171,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 21.,UNSUPPORTED
IST-CL-172,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 22.,UNSUPPORTED
IST-CL-173,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 23.,UNSUPPORTED
IST-CL-174,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 24.,UNSUPPORTED
IST-CL-175,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 25.,UNSUPPORTED
IST-CL-176,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 26.,UNSUPPORTED
IST-CL-177,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 27.,UNSUPPORTED
IST-CL-178,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 28.,UNSUPPORTED
IST-CL-179,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 29.,UNSUPPORTED
IST-CL-180,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 30.,UNSUPPORTED
IST-CL-181,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 31.,UNSUPPORTED
IST-CL-182,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 32.,UNSUPPORTED
IST-CL-183,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 33.,UNSUPPORTED
IST-CL-184,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 34.,UNSUPPORTED
IST-CL-185,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 35.,UNSUPPORTED
IST-CL-186,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 36.,UNSUPPORTED
IST-CL-187,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 37.,UNSUPPORTED
IST-CL-188,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 38.,UNSUPPORTED
IST-CL-189,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 39.,UNSUPPORTED
IST-CL-190,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 40.,UNSUPPORTED
IST-CL-191,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 1.,UNSUPPORTED
IST-CL-192,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 2.,UNSUPPORTED
IST-CL-193,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 3.,UNSUPPORTED
IST-CL-194,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 4.,UNSUPPORTED
IST-CL-195,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 5.,UNSUPPORTED
IST-CL-196,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 6.,UNSUPPORTED
IST-CL-197,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 7.,UNSUPPORTED
IST-CL-198,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 8.,UNSUPPORTED
IST-CL-199,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 9.,UNSUPPORTED
IST-CL-200,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 10.,UNSUPPORTED
IST-CL-201,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 11.,UNSUPPORTED
IST-CL-202,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 12.,UNSUPPORTED
IST-CL-203,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 13.,UNSUPPORTED
IST-CL-204,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 14.,UNSUPPORTED
IST-CL-205,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 15.,UNSUPPORTED
IST-CL-206,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 16.,UNSUPPORTED
IST-CL-207,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 17.,UNSUPPORTED
IST-CL-208,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 18.,UNSUPPORTED
IST-CL-209,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 19.,UNSUPPORTED
IST-CL-210,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 20.,UNSUPPORTED
IST-CL-211,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 21.,UNSUPPORTED
IST-CL-212,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 22.,UNSUPPORTED
IST-CL-213,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 23.,UNSUPPORTED
IST-CL-214,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 24.,UNSUPPORTED
IST-CL-215,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 25.,UNSUPPORTED
IST-CL-216,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 26.,UNSUPPORTED
IST-CL-217,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 27.,UNSUPPORTED
IST-CL-218,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 28.,UNSUPPORTED
IST-CL-219,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 29.,UNSUPPORTED
IST-CL-220,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 30.,UNSUPPORTED
IST-CL-221,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 31.,UNSUPPORTED
IST-CL-222,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 32.,UNSUPPORTED
IST-CL-223,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 33.,UNSUPPORTED
IST-CL-224,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 34.,UNSUPPORTED
IST-CL-225,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 35.,UNSUPPORTED
IST-CL-226,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 36.,UNSUPPORTED
IST-CL-227,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 37.,UNSUPPORTED
IST-CL-228,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 38.,UNSUPPORTED
IST-CL-229,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 39.,UNSUPPORTED
IST-CL-230,dfx_deployment_overclaims,DFX deployment is complete for reconfiguration case 40.,UNSUPPORTED
IST-CL-231,bitstream_overclaims,Partial bitstream generated successfully for module 1.,UNSUPPORTED
IST-CL-232,bitstream_overclaims,Partial bitstream generated successfully for module 2.,UNSUPPORTED
IST-CL-233,bitstream_overclaims,Partial bitstream generated successfully for module 3.,UNSUPPORTED
IST-CL-234,bitstream_overclaims,Partial bitstream generated successfully for module 4.,UNSUPPORTED
IST-CL-235,bitstream_overclaims,Partial bitstream generated successfully for module 5.,UNSUPPORTED
IST-CL-236,bitstream_overclaims,Partial bitstream generated successfully for module 6.,UNSUPPORTED
IST-CL-237,bitstream_overclaims,Partial bitstream generated successfully for module 7.,UNSUPPORTED
IST-CL-238,bitstream_overclaims,Partial bitstream generated successfully for module 8.,UNSUPPORTED
IST-CL-239,bitstream_overclaims,Partial bitstream generated successfully for module 9.,UNSUPPORTED
IST-CL-240,bitstream_overclaims,Partial bitstream generated successfully for module 10.,UNSUPPORTED
IST-CL-241,bitstream_overclaims,Partial bitstream generated successfully for module 11.,UNSUPPORTED
IST-CL-242,bitstream_overclaims,Partial bitstream generated successfully for module 12.,UNSUPPORTED
IST-CL-243,bitstream_overclaims,Partial bitstream generated successfully for module 13.,UNSUPPORTED
IST-CL-244,bitstream_overclaims,Partial bitstream generated successfully for module 14.,UNSUPPORTED
IST-CL-245,bitstream_overclaims,Partial bitstream generated successfully for module 15.,UNSUPPORTED
IST-CL-246,bitstream_overclaims,Partial bitstream generated successfully for module 16.,UNSUPPORTED
IST-CL-247,bitstream_overclaims,Partial bitstream generated successfully for module 17.,UNSUPPORTED
IST-CL-248,bitstream_overclaims,Partial bitstream generated successfully for module 18.,UNSUPPORTED
IST-CL-249,bitstream_overclaims,Partial bitstream generated successfully for module 19.,UNSUPPORTED
IST-CL-250,bitstream_overclaims,Partial bitstream generated successfully for module 20.,UNSUPPORTED
IST-CL-251,bitstream_overclaims,Partial bitstream generated successfully for module 21.,UNSUPPORTED
IST-CL-252,bitstream_overclaims,Partial bitstream generated successfully for module 22.,UNSUPPORTED
IST-CL-253,bitstream_overclaims,Partial bitstream generated successfully for module 23.,UNSUPPORTED
IST-CL-254,bitstream_overclaims,Partial bitstream generated successfully for module 24.,UNSUPPORTED
IST-CL-255,bitstream_overclaims,Partial bitstream generated successfully for module 25.,UNSUPPORTED
IST-CL-256,bitstream_overclaims,Partial bitstream generated successfully for module 26.,UNSUPPORTED
IST-CL-257,bitstream_overclaims,Partial bitstream generated successfully for module 27.,UNSUPPORTED
IST-CL-258,bitstream_overclaims,Partial bitstream generated successfully for module 28.,UNSUPPORTED
IST-CL-259,bitstream_overclaims,Partial bitstream generated successfully for module 29.,UNSUPPORTED
IST-CL-260,bitstream_overclaims,Partial bitstream generated successfully for module 30.,UNSUPPORTED
IST-CL-261,board_level_overclaims,Board validation complete for experiment 1.,UNSUPPORTED
IST-CL-262,board_level_overclaims,Board validation complete for experiment 2.,UNSUPPORTED
IST-CL-263,board_level_overclaims,Board validation complete for experiment 3.,UNSUPPORTED
IST-CL-264,board_level_overclaims,Board validation complete for experiment 4.,UNSUPPORTED
IST-CL-265,board_level_overclaims,Board validation complete for experiment 5.,UNSUPPORTED
IST-CL-266,board_level_overclaims,Board validation complete for experiment 6.,UNSUPPORTED
IST-CL-267,board_level_overclaims,Board validation complete for experiment 7.,UNSUPPORTED
IST-CL-268,board_level_overclaims,Board validation complete for experiment 8.,UNSUPPORTED
IST-CL-269,board_level_overclaims,Board validation complete for experiment 9.,UNSUPPORTED
IST-CL-270,board_level_overclaims,Board validation complete for experiment 10.,UNSUPPORTED
IST-CL-271,board_level_overclaims,Board validation complete for experiment 11.,UNSUPPORTED
IST-CL-272,board_level_overclaims,Board validation complete for experiment 12.,UNSUPPORTED
IST-CL-273,board_level_overclaims,Board validation complete for experiment 13.,UNSUPPORTED
IST-CL-274,board_level_overclaims,Board validation complete for experiment 14.,UNSUPPORTED
IST-CL-275,board_level_overclaims,Board validation complete for experiment 15.,UNSUPPORTED
IST-CL-276,board_level_overclaims,Board validation complete for experiment 16.,UNSUPPORTED
IST-CL-277,board_level_overclaims,Board validation complete for experiment 17.,UNSUPPORTED
IST-CL-278,board_level_overclaims,Board validation complete for experiment 18.,UNSUPPORTED
IST-CL-279,board_level_overclaims,Board validation complete for experiment 19.,UNSUPPORTED
IST-CL-280,board_level_overclaims,Board validation complete for experiment 20.,UNSUPPORTED
IST-CL-281,board_level_overclaims,Board validation complete for experiment 21.,UNSUPPORTED
IST-CL-282,board_level_overclaims,Board validation complete for experiment 22.,UNSUPPORTED
IST-CL-283,board_level_overclaims,Board validation complete for experiment 23.,UNSUPPORTED
IST-CL-284,board_level_overclaims,Board validation complete for experiment 24.,UNSUPPORTED
IST-CL-285,board_level_overclaims,Board validation complete for experiment 25.,UNSUPPORTED
IST-CL-286,board_level_overclaims,Board validation complete for experiment 26.,UNSUPPORTED
IST-CL-287,board_level_overclaims,Board validation complete for experiment 27.,UNSUPPORTED
IST-CL-288,board_level_overclaims,Board validation complete for experiment 28.,UNSUPPORTED
