id,title,year,venue,type,category,tool_or_method,solves_packaging,solves_replay,solves_provenance,solves_eda_flow,solves_claim_evidence,solves_hardware_overclaim,domain,overlap_risk,gap_for_artifactgate,url
S23,Enabling reusable physical design flows with modular flow generators,2021,arXiv,paper,eda_workflow_build_tools,mflowgen,partial,tool_run,partial,yes,no,no,physical design flows,high,Reusable flow concern differs from software-only claim sufficiency.,https://arxiv.org/abs/2111.14535
S24,SiliconCompiler documentation,2026,SiliconCompiler,official_docs,eda_workflow_build_tools,SiliconCompiler,partial,tool_run,manifest,yes,no,no,silicon compilation,high,Build-system manifests do not block unsupported manuscript claims.,https://docs.siliconcompiler.com/
S25,SiliconCompiler repository,2026,GitHub,repository,eda_workflow_build_tools,SiliconCompiler,partial,tool_run,manifest,yes,no,no,silicon compilation,high,Flow automation and results tracking are complementary.,https://github.com/siliconcompiler/siliconcompiler
S26,Hammer VLSI flow overview,2026,Hammer,official_docs,eda_workflow_build_tools,Hammer,no,tool_run,partial,yes,no,no,VLSI flow APIs,high,"VLSI flow backend, not software-only artifact claim checker.",https://docs.hammer-eda.org/en/latest/Hammer-Basics/Hammer-Overview.html
S27,Hammer project website,2026,Hammer,project_site,eda_workflow_build_tools,Hammer,no,tool_run,partial,yes,no,no,VLSI flow APIs,high,Targets physical design tasks beyond ArtifactGate's evidence ceiling.,https://www.hammer-eda.org/
S28,CIRCT project,2026,LLVM,project_site,eda_workflow_build_tools,CIRCT,no,tool_run,partial,yes,no,no,hardware compiler infrastructure,medium,Compiler infrastructure does not address artifact-package claim boundaries.,https://circt.llvm.org/
S29,CIRCT repository,2026,GitHub,repository,eda_workflow_build_tools,CIRCT,no,tool_run,partial,yes,no,no,hardware compiler infrastructure,medium,"Reusable compiler infrastructure, not artifact review ledger.",https://github.com/llvm/circt
S30,ngspice official site,2026,ngspice,tool_docs,eda_workflow_build_tools,ngspice,no,yes,logs,yes,no,no,SPICE simulation,low,Core backend source; not an artifact packaging framework.,https://ngspice.sourceforge.io/
S31,Yosys official site,2026,YosysHQ,tool_docs,eda_workflow_build_tools,Yosys,no,tool_run,logs,yes,no,no,RTL synthesis,low,Open-source synthesis evidence provider; not a claim-safety layer.,https://yosyshq.net/yosys/
S32,Yosys repository,2026,GitHub,repository,eda_workflow_build_tools,Yosys,no,tool_run,logs,yes,no,no,RTL synthesis,low,Provides L4 evidence type but no manuscript claim policy.,https://github.com/YosysHQ/yosys
S33,Icarus Verilog repository,2026,GitHub,repository,eda_workflow_build_tools,Icarus Verilog,no,tool_run,logs,yes,no,no,Verilog simulation,low,Simulation backend source; no claim-evidence matrix.,https://github.com/steveicarus/iverilog
S34,Verilator repository,2026,GitHub,repository,eda_workflow_build_tools,Verilator,no,tool_run,logs,yes,no,no,SystemVerilog simulation and lint,low,Backend source; no hardware-overclaim blocking.,https://github.com/verilator/verilator
S35,SLSA provenance specification,2026,SLSA,specification,provenance_policy_traceability,SLSA provenance,no,no,yes,no,no,no,software supply chain,medium,Supply-chain provenance differs from scientific claim sufficiency.,https://slsa.dev/provenance
S36,in-toto project,2026,in-toto,project_site,provenance_policy_traceability,in-toto,no,no,yes,no,no,no,software supply chain,medium,Attestation framework does not model EDA evidence levels.,https://in-toto.io/
S37,in-toto and SLSA,2023,SLSA,technical_article,provenance_policy_traceability,in-toto/SLSA attestation,no,no,yes,no,no,no,software supply chain,medium,Attestation context complements but does not replace claim audits.,https://slsa.dev/blog/2023/05/in-toto-and-slsa
S38,W3C PROV-O ontology,2013,W3C,standard,provenance_policy_traceability,PROV-O,no,no,yes,no,no,no,provenance,medium,General provenance model lacks EDA-specific claim-boundary semantics.,https://www.w3.org/TR/prov-o/
S39,Goal Question Metric approach,1989,University of Maryland,technical_report,empirical_se_methodology,GQM,no,no,no,no,manual,no,software engineering measurement,low,Measurement framing supports evaluation design but not artifact tooling.,https://www.cs.umd.edu/~basili/publications/technical/T89.pdf
S40,Experimentation in Software Engineering,2024,Springer,book,empirical_se_methodology,Software engineering experimentation,no,no,no,no,manual,no,empirical software engineering,low,Study-design guidance supports statistics and threats to validity.,https://portal.research.lu.se/en/publications/experimentation-in-software-engineering-2024-edition/
S41,Guidelines for conducting and reporting case study research in software engineering,2009,Empirical Software Engineering,paper,empirical_se_methodology,Case study guidelines,no,no,no,no,manual,no,empirical software engineering,low,"Reporting guidance, not a claim-safety tool.",https://doi.org/10.1007/s10664-008-9102-8
S42,Guidelines for performing systematic literature reviews in software engineering,2007,Keele University,technical_report,empirical_se_methodology,Kitchenham and Charters SLR,no,no,no,no,manual,no,software engineering reviews,low,Methodological basis for mapping; no EDA artifact checking.,https://legacyfileshare.elsevier.com/promis_misc/525444systematicreviewsguide.pdf
S43,Systematic mapping studies in software engineering,2008,EASE,paper,empirical_se_methodology,Systematic mapping,no,no,no,no,manual,no,software engineering reviews,low,Supports gap-map method but not ArtifactGate functionality.,https://doi.org/10.14236/ewic/EASE2008.8
S44,PLECS product page,2026,Plexim,tool_docs,eda_workflow_build_tools,PLECS,no,tool_run,logs,yes,no,no,power electronics simulation,low,Optional metadata/backend source only; not core reproducibility dependency.,https://www.plexim.com/products/plecs
S45,Logisim-evolution repository,2026,GitHub,repository,eda_workflow_build_tools,Logisim-evolution,no,tool_run,partial,yes,no,no,digital logic simulation,low,"Optional educational metadata case, not claim-sufficiency framework.",https://github.com/logisim-evolution/logisim-evolution
S46,LTspice official page,2026,Analog Devices,tool_docs,eda_workflow_build_tools,LTspice,no,tool_run,logs,yes,no,no,SPICE simulation,low,Optional local metadata/backend source; not open-source core dependency.,https://www.analog.com/en/resources/design-tools-and-calculators/ltspice-simulator.html
S47,Artifact Evaluations for Stronger Research Results,2025,ACM,paper,artifact_evaluation_badging,Artifact evaluation tutorial,partial,partial,no,domain-general,manual,no,computer science artifacts,medium,AE practice guidance; does not automate EDA evidence-level checking.,https://dl.acm.org/doi/10.1145/3696630.3728623
S48,Lessons Learned from Five Years of Artifact Evaluations at EuroSys,2025,ACM,paper,artifact_evaluation_badging,EuroSys AE study,partial,partial,no,domain-general,manual,no,systems artifacts,medium,Highlights claim-to-artifact connection needs but remains process-level.,https://dl.acm.org/doi/10.1145/3736731.3746152
S49,Community expectations for research artifacts and evaluation processes,2020,ACM,paper,artifact_evaluation_badging,AE expectations study,partial,partial,no,domain-general,manual,no,software artifacts,medium,"Survey evidence for AE expectations, not EDA-specific policy automation.",https://dl.acm.org/doi/10.1145/3368089.3409767
S50,Artifact Evaluation in the FPGA Community and in ACM TRETS,2026,ACM TRETS,paper,eda_fpga_artifact_practice,FPGA/TRETS AE,partial,partial,no,yes,manual,no,FPGA artifacts,medium,Direct FPGA AE context; still process/manual rather than automated claim blocking.,https://dl.acm.org/doi/10.1145/3802561
S51,Understanding and improving artifact sharing in software engineering research,2021,Empirical Software Engineering,paper,artifact_evaluation_badging,Artifact sharing study,partial,partial,no,no,manual,no,software engineering artifacts,medium,Discusses artifact support for claims but not EDA evidence-level sufficiency.,https://doi.org/10.1007/s10664-021-09973-5
S52,Preparing Reproducible Scientific Artifacts using Docker,2023,arXiv,paper,computational_reproducibility_packaging,Docker artifact method,yes,yes,partial,no,no,no,empirical computer science,medium,"Reproducible artifact preparation method, not claim-evidence policing.",https://arxiv.org/abs/2308.14122
S53,Rethinking Artifact Evaluation for Software Engineering in the Age of Generative AI,2026,arXiv,paper,artifact_evaluation_badging,SE artifact evaluation position,partial,partial,no,no,manual,no,software engineering artifacts,medium,Argues AE should focus on substance and evidence; not an EDA-specific tool.,https://arxiv.org/abs/2604.16306
S54,Empirical Research Methods in Software Engineering,2003,Springer,book_chapter,empirical_se_methodology,Empirical SE methods,no,no,no,no,manual,no,empirical software engineering,low,Method selection guidance supports study design and threat framing.,https://link.springer.com/chapter/10.1007/978-3-540-45143-3_2
S55,Preliminary guidelines for empirical research in software engineering,2002,IEEE Transactions on Software Engineering,paper,empirical_se_methodology,Empirical SE guidelines,no,no,no,no,manual,no,empirical software engineering,low,Guidelines for empirical research quality; not an artifact tool.,https://ieeexplore.ieee.org/document/1027796
S56,Sjoberg et al. survey of controlled experiments in software engineering,2005,IEEE Transactions on Software Engineering,paper,empirical_se_methodology,Controlled experiment survey,no,no,no,no,manual,no,empirical software engineering,low,Supports controlled-experiment validity discussion.,https://doi.org/10.1109/TSE.2005.97
S57,AutoBench: Automatic Testbench Generation and Evaluation Using LLMs for HDL Design,2024,ACM/IEEE MLCAD,paper,eda_fpga_artifact_practice,AutoBench,partial,yes,artifact_doi,yes,manual,no,HDL simulation/testbench artifacts,medium,"EDA artifact with public artifact DOI and code, but it evaluates testbench generation rather than claim-evidence sufficiency.",https://ieeexplore.ieee.org/document/10740250/
