id,type,category,source_class,use_in_manuscript,quality_note
S22,official_docs,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,"Modular flow generator, not claim-overreach detector."
S23,paper,eda_workflow_build_tools,scholarly_or_standard,cite_for_gap,Reusable flow concern differs from software-only claim sufficiency.
S24,official_docs,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Build-system manifests do not block unsupported manuscript claims.
S25,repository,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Flow automation and results tracking are complementary.
S26,official_docs,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,"VLSI flow backend, not software-only artifact claim checker."
S27,project_site,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Targets physical design tasks beyond ArtifactGate's evidence ceiling.
S28,project_site,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Compiler infrastructure does not address artifact-package claim boundaries.
S29,repository,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,"Reusable compiler infrastructure, not artifact review ledger."
S30,tool_docs,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Core backend source; not an artifact packaging framework.
S31,tool_docs,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Open-source synthesis evidence provider; not a claim-safety layer.
S32,repository,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Provides L4 evidence type but no manuscript claim policy.
S33,repository,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Simulation backend source; no claim-evidence matrix.
S34,repository,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Backend source; no hardware-overclaim blocking.
S35,specification,provenance_policy_traceability,scholarly_or_standard,cite_for_gap,Supply-chain provenance differs from scientific claim sufficiency.
S36,project_site,provenance_policy_traceability,tool_policy_or_repository,cite_for_tool_scope,Attestation framework does not model EDA evidence levels.
S37,technical_article,provenance_policy_traceability,tool_policy_or_repository,cite_for_tool_scope,Attestation context complements but does not replace claim audits.
S38,standard,provenance_policy_traceability,scholarly_or_standard,cite_for_gap,General provenance model lacks EDA-specific claim-boundary semantics.
S39,technical_report,empirical_se_methodology,scholarly_or_standard,cite_for_gap,Measurement framing supports evaluation design but not artifact tooling.
S40,book,empirical_se_methodology,scholarly_or_standard,cite_for_gap,Study-design guidance supports statistics and threats to validity.
S41,paper,empirical_se_methodology,scholarly_or_standard,cite_for_gap,"Reporting guidance, not a claim-safety tool."
S42,technical_report,empirical_se_methodology,scholarly_or_standard,cite_for_gap,Methodological basis for mapping; no EDA artifact checking.
S43,paper,empirical_se_methodology,scholarly_or_standard,cite_for_gap,Supports gap-map method but not ArtifactGate functionality.
S44,tool_docs,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Optional metadata/backend source only; not core reproducibility dependency.
S45,repository,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,"Optional educational metadata case, not claim-sufficiency framework."
S46,tool_docs,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Optional local metadata/backend source; not open-source core dependency.
S47,paper,artifact_evaluation_badging,scholarly_or_standard,cite_for_gap,AE practice guidance; does not automate EDA evidence-level checking.
S48,paper,artifact_evaluation_badging,scholarly_or_standard,cite_for_gap,Highlights claim-to-artifact connection needs but remains process-level.
S49,paper,artifact_evaluation_badging,scholarly_or_standard,cite_for_gap,"Survey evidence for AE expectations, not EDA-specific policy automation."
S50,paper,eda_fpga_artifact_practice,scholarly_or_standard,cite_for_gap,Direct FPGA AE context; still process/manual rather than automated claim blocking.
S51,paper,artifact_evaluation_badging,scholarly_or_standard,cite_for_gap,Discusses artifact support for claims but not EDA evidence-level sufficiency.
S52,paper,computational_reproducibility_packaging,scholarly_or_standard,cite_for_gap,"Reproducible artifact preparation method, not claim-evidence policing."
S53,paper,artifact_evaluation_badging,scholarly_or_standard,cite_for_gap,Argues AE should focus on substance and evidence; not an EDA-specific tool.
S54,book_chapter,empirical_se_methodology,scholarly_or_standard,cite_for_gap,Method selection guidance supports study design and threat framing.
S55,paper,empirical_se_methodology,scholarly_or_standard,cite_for_gap,Guidelines for empirical research quality; not an artifact tool.
S56,paper,empirical_se_methodology,scholarly_or_standard,cite_for_gap,Supports controlled-experiment validity discussion.
S57,paper,eda_fpga_artifact_practice,scholarly_or_standard,cite_for_gap,"EDA artifact with public artifact DOI and code, but it evaluates testbench generation rather than claim-evidence sufficiency."
