claim_id,category,claim_type,claim_text,expected_status
CB-EDA-0023,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 23.,SUPPORTED
CB-EDA-0024,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 24.,SUPPORTED
CB-EDA-0025,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 25.,SUPPORTED
CB-EDA-0026,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 26.,SUPPORTED
CB-EDA-0027,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 27.,SUPPORTED
CB-EDA-0028,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 28.,SUPPORTED
CB-EDA-0029,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 29.,SUPPORTED
CB-EDA-0030,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 30.,SUPPORTED
CB-EDA-0031,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 31.,SUPPORTED
CB-EDA-0032,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 32.,SUPPORTED
CB-EDA-0033,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 33.,SUPPORTED
CB-EDA-0034,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 34.,SUPPORTED
CB-EDA-0035,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 35.,SUPPORTED
CB-EDA-0036,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 36.,SUPPORTED
CB-EDA-0037,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 37.,SUPPORTED
CB-EDA-0038,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 38.,SUPPORTED
CB-EDA-0039,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 39.,SUPPORTED
CB-EDA-0040,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 40.,SUPPORTED
CB-EDA-0041,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 41.,SUPPORTED
CB-EDA-0042,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 42.,SUPPORTED
CB-EDA-0043,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 43.,SUPPORTED
CB-EDA-0044,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 44.,SUPPORTED
CB-EDA-0045,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 45.,SUPPORTED
CB-EDA-0046,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 46.,SUPPORTED
CB-EDA-0047,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 47.,SUPPORTED
CB-EDA-0048,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 48.,SUPPORTED
CB-EDA-0049,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 49.,SUPPORTED
CB-EDA-0050,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 50.,SUPPORTED
CB-EDA-0051,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 51.,SUPPORTED
CB-EDA-0052,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 52.,SUPPORTED
CB-EDA-0053,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 53.,SUPPORTED
CB-EDA-0054,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 54.,SUPPORTED
CB-EDA-0055,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 55.,SUPPORTED
CB-EDA-0056,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 56.,SUPPORTED
CB-EDA-0057,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 57.,SUPPORTED
CB-EDA-0058,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 58.,SUPPORTED
CB-EDA-0059,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 59.,SUPPORTED
CB-EDA-0060,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 60.,SUPPORTED
CB-EDA-0061,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 61.,SUPPORTED
CB-EDA-0062,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 62.,SUPPORTED
CB-EDA-0063,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 63.,SUPPORTED
CB-EDA-0064,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 64.,SUPPORTED
CB-EDA-0065,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 65.,SUPPORTED
CB-EDA-0066,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 66.,SUPPORTED
CB-EDA-0067,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 67.,SUPPORTED
CB-EDA-0068,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 68.,SUPPORTED
CB-EDA-0069,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 69.,SUPPORTED
CB-EDA-0070,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 70.,SUPPORTED
CB-EDA-0071,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 71.,SUPPORTED
CB-EDA-0072,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 72.,SUPPORTED
CB-EDA-0073,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 73.,SUPPORTED
CB-EDA-0074,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 74.,SUPPORTED
CB-EDA-0075,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 75.,SUPPORTED
CB-EDA-0076,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 76.,SUPPORTED
CB-EDA-0077,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 77.,SUPPORTED
CB-EDA-0078,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 78.,SUPPORTED
CB-EDA-0079,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 79.,SUPPORTED
CB-EDA-0080,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 80.,SUPPORTED
CB-EDA-0081,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 81.,SUPPORTED
CB-EDA-0082,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 82.,SUPPORTED
CB-EDA-0083,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 83.,SUPPORTED
CB-EDA-0084,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 84.,SUPPORTED
CB-EDA-0085,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 85.,SUPPORTED
CB-EDA-0086,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 86.,SUPPORTED
CB-EDA-0087,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 87.,SUPPORTED
CB-EDA-0088,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 88.,SUPPORTED
CB-EDA-0089,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 89.,SUPPORTED
CB-EDA-0090,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 90.,SUPPORTED
CB-EDA-0091,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 91.,SUPPORTED
CB-EDA-0092,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 92.,SUPPORTED
CB-EDA-0093,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 93.,SUPPORTED
CB-EDA-0094,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 94.,SUPPORTED
CB-EDA-0095,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 95.,SUPPORTED
CB-EDA-0096,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 96.,SUPPORTED
CB-EDA-0097,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 97.,SUPPORTED
CB-EDA-0098,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 98.,SUPPORTED
CB-EDA-0099,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 99.,SUPPORTED
CB-EDA-0100,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 100.,SUPPORTED
CB-EDA-0101,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 101.,SUPPORTED
CB-EDA-0102,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 102.,SUPPORTED
CB-EDA-0103,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 103.,SUPPORTED
CB-EDA-0104,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 104.,SUPPORTED
CB-EDA-0105,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 105.,SUPPORTED
CB-EDA-0106,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 106.,SUPPORTED
CB-EDA-0107,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 107.,SUPPORTED
CB-EDA-0108,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 108.,SUPPORTED
CB-EDA-0109,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 109.,SUPPORTED
CB-EDA-0110,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 110.,SUPPORTED
CB-EDA-0111,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 111.,SUPPORTED
CB-EDA-0112,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 112.,SUPPORTED
CB-EDA-0113,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 113.,SUPPORTED
CB-EDA-0114,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 114.,SUPPORTED
CB-EDA-0115,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 115.,SUPPORTED
CB-EDA-0116,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 116.,SUPPORTED
CB-EDA-0117,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 117.,SUPPORTED
CB-EDA-0118,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 118.,SUPPORTED
CB-EDA-0119,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 119.,SUPPORTED
CB-EDA-0120,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 120.,SUPPORTED
CB-EDA-0121,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 121.,SUPPORTED
CB-EDA-0122,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 122.,SUPPORTED
CB-EDA-0123,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 123.,SUPPORTED
CB-EDA-0124,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 124.,SUPPORTED
CB-EDA-0125,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 125.,SUPPORTED
CB-EDA-0126,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 126.,SUPPORTED
CB-EDA-0127,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 127.,SUPPORTED
CB-EDA-0128,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 128.,SUPPORTED
CB-EDA-0129,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 129.,SUPPORTED
CB-EDA-0130,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 130.,SUPPORTED
CB-EDA-0131,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 131.,SUPPORTED
CB-EDA-0132,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 132.,SUPPORTED
CB-EDA-0133,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 133.,SUPPORTED
CB-EDA-0134,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 134.,SUPPORTED
CB-EDA-0135,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 135.,SUPPORTED
CB-EDA-0136,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 136.,SUPPORTED
CB-EDA-0137,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 137.,SUPPORTED
CB-EDA-0138,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 138.,SUPPORTED
CB-EDA-0139,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 139.,SUPPORTED
CB-EDA-0140,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 140.,SUPPORTED
CB-EDA-0141,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 141.,SUPPORTED
CB-EDA-0142,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 142.,SUPPORTED
CB-EDA-0143,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 143.,SUPPORTED
CB-EDA-0144,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 144.,SUPPORTED
CB-EDA-0145,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 145.,SUPPORTED
CB-EDA-0146,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 146.,SUPPORTED
CB-EDA-0147,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 147.,SUPPORTED
CB-EDA-0148,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 148.,SUPPORTED
CB-EDA-0149,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 149.,SUPPORTED
CB-EDA-0150,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 150.,SUPPORTED
CB-EDA-0151,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 151.,SUPPORTED
CB-EDA-0152,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 152.,SUPPORTED
CB-EDA-0153,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 153.,SUPPORTED
CB-EDA-0154,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 154.,SUPPORTED
CB-EDA-0155,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 155.,SUPPORTED
CB-EDA-0156,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 156.,SUPPORTED
CB-EDA-0157,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 157.,SUPPORTED
CB-EDA-0158,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 158.,SUPPORTED
CB-EDA-0159,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 159.,SUPPORTED
CB-EDA-0160,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 160.,SUPPORTED
CB-EDA-0161,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 161.,SUPPORTED
CB-EDA-0162,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 162.,SUPPORTED
CB-EDA-0163,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 163.,SUPPORTED
CB-EDA-0164,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 164.,SUPPORTED
CB-EDA-0165,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 165.,SUPPORTED
CB-EDA-0166,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 166.,SUPPORTED
CB-EDA-0167,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 167.,SUPPORTED
CB-EDA-0168,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 168.,SUPPORTED
CB-EDA-0169,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 169.,SUPPORTED
CB-EDA-0170,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 170.,SUPPORTED
CB-EDA-0171,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 171.,SUPPORTED
CB-EDA-0172,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 172.,SUPPORTED
CB-EDA-0173,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 173.,SUPPORTED
CB-EDA-0174,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 174.,SUPPORTED
CB-EDA-0175,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 175.,SUPPORTED
CB-EDA-0176,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 176.,SUPPORTED
CB-EDA-0177,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 177.,SUPPORTED
CB-EDA-0178,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 178.,SUPPORTED
CB-EDA-0179,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 179.,SUPPORTED
CB-EDA-0180,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 180.,SUPPORTED
CB-EDA-0181,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 181.,SUPPORTED
CB-EDA-0182,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 182.,SUPPORTED
CB-EDA-0183,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 183.,SUPPORTED
CB-EDA-0184,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 184.,SUPPORTED
CB-EDA-0185,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 185.,SUPPORTED
CB-EDA-0186,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 186.,SUPPORTED
CB-EDA-0187,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 187.,SUPPORTED
CB-EDA-0188,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 188.,SUPPORTED
CB-EDA-0189,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 189.,SUPPORTED
CB-EDA-0190,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 190.,SUPPORTED
CB-EDA-0191,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 191.,SUPPORTED
CB-EDA-0192,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 192.,SUPPORTED
CB-EDA-0193,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 193.,SUPPORTED
CB-EDA-0194,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 194.,SUPPORTED
CB-EDA-0195,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 195.,SUPPORTED
CB-EDA-0196,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 196.,SUPPORTED
CB-EDA-0197,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 197.,SUPPORTED
CB-EDA-0198,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 198.,SUPPORTED
CB-EDA-0199,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 199.,SUPPORTED
CB-EDA-0200,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 200.,SUPPORTED
CB-EDA-0201,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 201.,SUPPORTED
CB-EDA-0202,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 202.,SUPPORTED
CB-EDA-0203,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 203.,SUPPORTED
CB-EDA-0204,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 204.,SUPPORTED
CB-EDA-0205,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 205.,SUPPORTED
CB-EDA-0206,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 206.,SUPPORTED
CB-EDA-0207,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 207.,SUPPORTED
CB-EDA-0208,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 208.,SUPPORTED
CB-EDA-0209,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 209.,SUPPORTED
CB-EDA-0210,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 210.,SUPPORTED
CB-EDA-0211,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 211.,SUPPORTED
CB-EDA-0212,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 212.,SUPPORTED
CB-EDA-0213,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 213.,SUPPORTED
CB-EDA-0214,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 214.,SUPPORTED
CB-EDA-0215,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 215.,SUPPORTED
CB-EDA-0216,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 216.,SUPPORTED
CB-EDA-0217,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 217.,SUPPORTED
CB-EDA-0218,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 218.,SUPPORTED
CB-EDA-0219,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 219.,SUPPORTED
CB-EDA-0220,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 220.,SUPPORTED
CB-EDA-0221,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 221.,SUPPORTED
CB-EDA-0222,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 222.,SUPPORTED
CB-EDA-0223,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 223.,SUPPORTED
CB-EDA-0224,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 224.,SUPPORTED
CB-EDA-0225,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 225.,SUPPORTED
CB-EDA-0226,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 226.,SUPPORTED
CB-EDA-0227,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 227.,SUPPORTED
CB-EDA-0228,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 228.,SUPPORTED
CB-EDA-0229,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 229.,SUPPORTED
CB-EDA-0230,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 230.,SUPPORTED
CB-EDA-0231,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 231.,SUPPORTED
CB-EDA-0232,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 232.,SUPPORTED
CB-EDA-0233,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 233.,SUPPORTED
CB-EDA-0234,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 234.,SUPPORTED
CB-EDA-0235,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 235.,SUPPORTED
CB-EDA-0236,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 236.,SUPPORTED
CB-EDA-0237,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 237.,SUPPORTED
CB-EDA-0238,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 238.,SUPPORTED
CB-EDA-0239,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 239.,SUPPORTED
CB-EDA-0240,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 240.,SUPPORTED
CB-EDA-0241,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 241.,SUPPORTED
CB-EDA-0242,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 242.,SUPPORTED
