artifact_id,artifact_type,artifact_name,source_path,generated_by,verified_by,evidence_layer,claim_supported,paper_target,status,hash,limitation,unsupported_boundary
S2D-A011,SYNTHESIS_LOG,RM tiny classifier Yosys synthesis log,spec2dfx_personal_project_pack/07_results_and_evidence/yosys_synthesis/rm_tiny_classifier/synthesis_rm_tiny_classifier.log,run_yosys_synthesis.py,file existence and sha256,L4_SYNTHESIS_EVIDENCE,S2D-C04,Paper1;Paper2,DIRECT_EVIDENCE,4f59d647bbf14775efa4e69a7b046f41385a92ab78d15bc4d2cdc8e9d398af87,Standalone open-source synthesis only.,Must not be described as Vivado implementation or timing closure.
S2D-A012,SYNTHESIS_REPORT,RM tiny classifier Yosys utilization report,spec2dfx_personal_project_pack/07_results_and_evidence/yosys_synthesis/rm_tiny_classifier/utilization_rm_tiny_classifier.rpt,run_yosys_synthesis.py,file existence and sha256,L4_SYNTHESIS_EVIDENCE,S2D-C04,Paper1;Paper2,DIRECT_EVIDENCE,a4f9e5df9ed91e98d061953e5be6c588eee6723b32ce16c7c629a2660516c9c1,Standalone Yosys utilization report only.,Not a Vivado utilization report.
S2D-A013,INTERFACE_REPORT,RM interface compatibility report,spec2dfx_personal_project_pack/07_results_and_evidence/rm_interface/rm_interface_compatibility.md,check_rm_interfaces.py,file existence and sha256,L2_INTERFACE_EVIDENCE,S2D-C05,Paper1;Paper2,DIRECT_EVIDENCE,0a7c3ff8dfaa5ebdf0df0597263cc6b1893652eddd92ce2b8dbde4b827156e34,Static source-level port compatibility only.,Not Vivado DFX partition compatibility or formal equivalence.
S2D-A014,INTERFACE_CONTRACT,RM interface contract,spec2dfx_personal_project_pack/02_architecture/rm_interface_contract.md,Spec2DFX architecture package,file existence and sha256,L1_CONTRACT_EVIDENCE,S2D-C05,Paper1;Paper2,DIRECT_EVIDENCE,eb2c2b091ecd47b5842c2a14937aad47b2d5868aea0dfd2e91d83d68a991140a,Design contract only.,Does not prove protocol correctness under real DFX.
S2D-A015,PHASE2_MANIFEST,Phase 2 run manifest,spec2dfx_phase2_synthesis_gate/outputs/run_manifest.json,spec2dfx_phase2 build,json parse and sha256,L4_SYNTHESIS_EVIDENCE,S2D-C04,Paper2,DIRECT_EVIDENCE,5aabceeaf07f07a10e7e3b32f57cbb0b9fc328e639f488a1f3599ea815f1ff17,Phase 2 fixture evidence package.,"No vendor implementation, bitstream, or board-level measurement."
S2D-A016,PHASE2_ACCEPTANCE,Phase 2 final acceptance report,spec2dfx_phase2_synthesis_gate/outputs/final_acceptance_report.md,spec2dfx_phase2 finalize-release,file existence and sha256,PACKAGE_EVIDENCE,S2D-C06,Paper2,DIRECT_EVIDENCE,9f03c8722790eddbaadcf0038bb0f1348c5152cdab9340816f78a003d09822c6,Acceptance validates local HDL/Yosys package hygiene.,No hardware behavior validation.
S2D-A017,PHASE3_INDEX,Phase 3 consolidated evidence index,spec2dfx_phase3_evidence_consolidation/outputs/consolidated_evidence_index.csv,phase3 evidence consolidation,file existence and sha256,PACKAGE_EVIDENCE,S2D-C06,Paper1;Paper2,DIRECT_EVIDENCE,84b18f646f92d17e15dead332ac859325e21f4728c7d203702c5d4d95ffeca6f,Consolidates accepted local evidence and unsupported layers.,Does not upgrade hardware claims.
S2D-A018,PHASE3_ACCEPTANCE,Phase 3 final acceptance report,spec2dfx_phase3_evidence_consolidation/outputs/final_acceptance_report.md,phase3 evidence consolidation,file existence and sha256,PACKAGE_EVIDENCE,S2D-C06,Paper1;Paper2,DIRECT_EVIDENCE,e6a8d404081581d66b6054e01c09434c451a4b0929d5d27d875cb9e50d06d1f1,Validates packaging and boundary hygiene.,Does not validate hardware behavior or publication readiness.
S2D-A019,FUTURE_SCHEMA,Vivado report ingestion schema,spec2dfx_personal_project_pack/02_architecture/vivado_report_ingestion_schema.json,Spec2DFX architecture package,json parse and sha256,L0_SCHEMA,S2D-C07,Paper1;Paper2,PLANNED_INTERFACE,1214a95f87c102ab827255ce820ea0e1b01d7749f7db28cf0965b06bc01bf73e,Schema readiness only.,Not L5 timing evidence without real Vivado reports.
S2D-A020,FUTURE_SCHEMA,DFX artifact manifest schema,spec2dfx_personal_project_pack/02_architecture/dfx_artifact_manifest_schema.json,Spec2DFX architecture package,json parse and sha256,L0_SCHEMA,S2D-C07,Paper1;Paper2,PLANNED_INTERFACE,523776af537eaefa3ca69354eeb2afb296032bb9d10f8a1e6c051b9040ab783a,Schema readiness only.,Not L6 bitstream evidence without real artifacts.
S2D-A021,UNSUPPORTED_STATUS,Vivado/timing missing evidence status,spec2dfx_personal_project_pack/07_results_and_evidence/vivado_report_ingestion/timing_evidence_status.md,ingest_vivado_reports.py,file existence and sha256,BOUNDARY_ARTIFACT,S2D-U01,Paper1;Paper2,UNSUPPORTED,4b3fd723b5a8bef8327e9e1fa0a9b0cf5870b271f1211fcf759c0f6f0d310bca,Records missing timing evidence.,Blocks timing closure claims.
S2D-A022,UNSUPPORTED_STATUS,DFX artifact missing evidence status,spec2dfx_personal_project_pack/07_results_and_evidence/dfx_artifact_manifest/dfx_artifact_status.md,check_dfx_artifacts.py,file existence and sha256,BOUNDARY_ARTIFACT,S2D-U03;S2D-U04;S2D-U05,Paper1;Paper2,UNSUPPORTED,aa6fcded8a4b9cd2e3a06f1845c7c599daede0aed7839f525b8b4505ba6834b6,Records missing DFX artifacts.,Blocks DFX partition and bitstream claims.
S2D-A023,PHASE2_RESULT_TABLE,Phase 2 simulation results,spec2dfx_phase2_synthesis_gate/outputs/simulation_results.csv,spec2dfx_phase2 build,file existence and sha256,L3_SIMULATION_EVIDENCE,S2D-C03,Paper2,DIRECT_EVIDENCE,833d6f7d164e8013724cbad1be7b12a2f5560388dfa029bd2ff0a4cce8fd7352,Fixture-level simulation table.,Not board-level measurement.
S2D-A024,PHASE2_RESULT_TABLE,Phase 2 synthesis metrics,spec2dfx_phase2_synthesis_gate/outputs/synthesis_metrics.csv,spec2dfx_phase2 build,file existence and sha256,L4_SYNTHESIS_EVIDENCE,S2D-C04,Paper2,DIRECT_EVIDENCE,eea05bdecdf882a4cc8f0aeed7af5ac6acd39a446e55018355ff2976fbc328a4,Fixture-level Yosys metrics.,Not Vivado timing or utilization.
S2D-A025,PHASE2_RESULT_TABLE,Phase 2 interface matrix,spec2dfx_phase2_synthesis_gate/outputs/interface_matrix.csv,spec2dfx_phase2 build,file existence and sha256,L2_INTERFACE_EVIDENCE,S2D-C05,Paper2,DIRECT_EVIDENCE,3185ad1ffc92f0558e1bcb2fada8a2a50e8da441094f4804550f707b362034b7,Fixture-level interface matrix.,Not DFX partition compatibility.
